,user_id,actual,own_rec
13,19,"[ 1087916  6534178   859075   883404   940947   944534  1055472  6391280
   879755   983584  1065593   964254   970792  1021133  1033615  1149843
  1281065  1308626  1311545  1331431  1331582  1382636  1396092  1397955
  5126106 15975311  6533765   849520  1022254  1096317   830245   910473
  7441873 13945244   837304   837751   844165   942792   944486   962229
   965766   985119   994928  1029743  1044078  1054262   998270  6533236
   826249   830960   840102   840361   841220   844179   865456   871756
   882288   899624   919534   939900   941741   949620   979523   988206
   992933   999104   999270  1000236  1007136  1023815  1076738  1082185
  1087753  1090286  1094955  1098692  1100150  1101173  1137119  5978656
  8014645  8090537  8181010 12731702 15717033 15926885 15926886   819518
   946757  1043128 12757077   878445  1115228  1130458   868423  1012816
  1137885 13189726   944466   945737  1074271  1074524  1082212   834833
   970371   872065   835243   886703   918086  1070015  1123420  5568378
  5569230 12384775  1012052   822241   838396   839818   852864   885863
   892294   895680   899391   908064   917494   953134   954651   971585
   972742   974306   981944   989075  1004950  1025611  1028995  1033347
  1036432  1042438  1048483  1053058  1059930  1068708  1077490  1110057
  1110697  1122115  1131310  1132006  5565447  8065410 12524174 12810418
 13506200 15511534 15742123   938700  1004906]","[1082185, 995242, 1029743, 1106523, 1133018]"
14,20,"[ 6534178   894360   993441  1123106  1126899 10149303   865330   995628
   945611   948509  1040842  1115801  6533765   850072   855557   871570
   873178   897125   911215  1016709  1132911  9835509  1053460  1051333
   901772   960528 12263626 12302067 13944659   883404   918284   929018
   935578   953320   953675   994928   995965  1002850  1121218  5568228
  5592931  1025522  1075368   916122  9836460  1058997   821556  1042356
   819112  1012363  1068719  1110867  8019255 12263052   866292   905217
   928190   941532   821890   910109  1086740   840361   944836  1069621
  1078258  5568191  6979803 12649592   889618  1098692 16809501  1016274
   941006   944454  8090536]","[1082185, 995242, 1029743, 1106523, 1133018]"
15,21,"[  896369   904360   909349   934697   956274   961791   981760  1029743
  1031864  1031923  1038684  1054424  5592030  9396672   825170   826860
   837362   839753   839849   845894   850290   853174   853904   874058
   883616   891410   903674   912817   914186   927191   938700   946489
   953476   965713   973861   979746   986327   994928  1000896  1013321
  1013770  1022843  1024051  1031584  1050079  1055646  1058779  1065593
  1096036  1106301  1113381  1116821  1127470  1128744  5592737  5996212
  6034857  7442091  8181238  9419525  9858900  9859194 10254584 13095260
 13095261 13213074 13213113 16809471]","[1082185, 995242, 1029743, 1106523, 1133018]"
16,22,"[ 6534178   866211   873178   874877   904360   978269  1059347  1070820
  1082185  1104695 12949855 13115981   825541   834484   836823   872092
   883404   897270   900311   901903   920200   941295   954351   958382
   991874  1005274  1023473  1051402  1075074  1076954  1104349  1120362
  5978648  9296987 10284966 12987976 12988031   832249   962568   827656
   835098   913483   938463   939803   972445  1010578  1018339  6547504
   856345   826249   840361   854920   857849   860804   916050   944836
   956373   979707   996795  1068719  1092446  1122115 16729299   825749
   837304   868066   878637   884366   923528   990656   995645   995816
  1003472  1008212  1029504  1073775  1084781  1130111  5568729 12648586
  1026448  1138854   870424   955587  1001702  1079228  1110142  1137850
  5570048  5590665  5978656  9297229]","[1082185, 995242, 1029743, 1106523, 1133018]"
17,23,"[  888476   933207  1023830  1058930  1075368  1076306  1138858  7409942
  9676759  9677270   831763   837644   838097   893221   981760  1078741
  1127555  5978656  9835903  1034176  1127108 15926712  1111391   616830
   762311   797263   840361   842140   865885   870426   888186   906183
   911388   924014   927110   938118   950615   965530   967065   971703
   977867   995785  1019479  1051468  1070820  1079987  1082185  1102067
  1103341  1115576  1120362  1131380  5591793  9420048 15596957 15660095
 15681692 17178954 17179424 17240256 10204393 13945157 15595834   951275]","[1082185, 995242, 1029743, 1106523, 1133018]"
18,24,"[ 5592772   826249   893018   903230   925514   926905  1008814  1016800
  1053690  1082172  1094308 12324956 15926638 15926911 15926962   844462
   877447   879948   898068   948509  1096036  5580793 12427532   844165
   895680   969568   983584  1007191  1028995  1036501  1068575  1070845
  1092026  1093281  1106523  1132771  8203451 15926844 15926887   849843
   906262   989101  1111498 10285144 17104857  1038663  1094955   998049
   882830   908531  1133018   870547   986912  9835619]","[1082185, 995242, 1029743, 1106523, 1133018]"
19,25,"[  847270   948509   991442  1029743  1075786  1101567 13213122   850841
   861272   862139   866211   875396   898510   910777   929018   995242
  1002850  1012284  1041796  1065593  1065758  1086795  1113584  1135768
  5568378  9487421 12949590 13007838 15926927]","[1082185, 995242, 1029743, 1106523, 1133018]"
20,26,"[  895540   931108   985119   994928   995242  1050851  1062152  1084591
  7410343  9487323  9707137 13190673   820122   833715   834833   849843
   861603   919012   960484   979707   981944  1010029  1021133  1062966
  1123792  7443351 15716719   907014 14025605   857849   921836   940766
   960551  1022254  8119303  9296919 15686490   919406   953476   976998
   991064  1013321  1018364  1110624 14110668   873085   947200   974794
   896862  1040700  1074868   833866  1040693   853178  1001148  1122876
  1134294  7167903 10204277]","[1082185, 995242, 1029743, 1106523, 1133018]"
21,27,"[  944564   996425  1005861  1062860   881529  1022872  1052920  1102416
  1118264  7409957 12385050 14050446  1124520   963686  1058709  1082185
  7441558  9829787 10182813 15927661   918733   959345   959409  1108940
 14111400   944486   951071  1065669   910473  1017982  1064919   823126
   878302   949616  1003836  1002558 13189892   969164   987562  1076056
  5566804  7441391   887503  1029252  1031923  1101589 14106671   837908
   964680  1077409 15452032   882305   982537 12673243 13095621   863529
   888560  1057168 13416632   976557  1016332  1077555   844759   907491
  8249551  1019479 12599756   956995 13095518   897449 12695880   883186
 13115849  1057777   945805  5568509   834377 12599655  9419470 17214679
  5978648  1052833 12781958   959328  7167249  8353573 13095256 13095304
   987480]","[1082185, 995242, 1029743, 1106523, 1133018]"
22,28,"[  861419   916122   964262   984573  1005186  1017195  1081166  1105120
  6534030  6534881  6632489 15596022   903567   928190  1038833  5996184
  6533368  6533911  8119129  9858850 13115551   850676   854900   871741
  1027068  1034099  1055155  1076467  1093971   847270   940947   944419
   951412 13003092   955854  1033814  6979415   827631   926646   942711
   982320   994685  1091644  5978656  6632942  1070169  1120443 13190388]","[1082185, 995242, 1029743, 1106523, 1133018]"
23,29,"[  827180  1007244  1128744 12171707 15831255   867188   872137   886395
   899624  9337280   839094   844165   868764  1092026 13417616 13777312]","[1082185, 995242, 1029743, 1106523, 1133018]"
24,30,"[ 848761  859075  900112  926900  981760 1002558 1003600 1004982 1022254
 1023339 1043301 1048563 1050310 1051516 1136257 6534480]","[1082185, 995242, 1029743, 1106523, 1133018]"
25,31,"[  844179   847982   848015   864805   867330   881706   887393   898212
   907647   909714   920844   923373   971709   981086   981760   990897
   999730  1027474  1037451  1055504  1057949  1070820  1100137  1110142
  1113141  1122547  1136257  5585701  5978656  7166791  7169090  8118584
  9526100  9858622 15716676 15717046 16733789   858918   898847   901062
   913324   917008   943362   954347   990656   998049  1043064  1048563
  1051781  1054434  1062128  1062886  1082185  1087547  1105917  1108152
  1123621  1128861  1131133  1132081  5995759  6463727  7144377  7168456
  7406474  9445877  9575253 12301625 12301784 12385374 12811160 13094928
 13095719 13190127 15926815 16058672   859877   889649   982469   994928
  1017407  1070702  1075001  1076889  5978648  7025275  8290421  9553312
  9833277  9857179 13008462 13944638 13986393 13987010   833828   845208
   860248   864279   866211   875593   903325   968480   968992   969977
   971922  1001412  1004906  1040807  1042564  1068719  1070214  1088234
  1104343  1105034  1123556  1129576  9831555 10285242 14025614 16729361
  1082485  6391226  6533889   859427   908575   948239   983078  1000774
  7167316  8019920 15452521 15800882 16729415  6534178 14025498   863070
   883549   971957   977344  1005849  1013503  1031906  1056492  1056740
  1093113  1103629  1104118  1115577  1138443  7169088  8019201 15452301
 15830835]","[1082185, 995242, 1029743, 1106523, 1133018]"
26,32,"[  820466   828143   855468   862349   862826   865156   883932   901062
   908312   912807   915041   920205   922415   928754   940278   944454
   962568   972569   977882   984157   986947   989919   990762   991358
   995358  1002178  1002558  1003441  1003649  1034686  1055853  1059904
  1066463  1068957  1074405  1075074  1075582  1080331  1093359  1094924
  1098815  1121699  1129709  5592810  5592993  8014645  8293447  9445919
 12330794 14025223 15973171   823758]","[1082185, 995242, 1029743, 1106523, 1133018]"
27,33,"[  853124   871756  1070420  5572738  5590613  5590695  5591103  9831469
  9835747 10351524 12810472   908412  1044655]","[1082185, 995242, 1029743, 1106523, 1133018]"
28,34,[15800707  1123792   819063  1004705  1044078],"[1082185, 995242, 1029743, 1106523, 1133018]"
29,35,[6463752 6464165 1053690 1076875],"[1082185, 995242, 1029743, 1106523, 1133018]"
30,36,"[ 1097991   995242  1084310   904833  7169034 10204393   841179   867931
   876504   960744   962229   979707   995785  1029743  1033707  1049454
  1105488  1106064  8019977 12263692   865705   961554  7119555 13986397
   833866   857503  1024306  1089452  7409970  5587133   969568  8273833
  8276172  9676923 12384431 13512727  1093329   851287   860776   909714
   912451   939605   970747   998643  1003188  1003818  1029983  1076002
  1096036  1108152  7152817   847025  1051093  1116652  1131602   845538
   971038   826249   849578  7410289 14074037  1086235 10344586 12330380
  6391035  7410145  8019921  9487847]","[1082185, 995242, 1029743, 1106523, 1133018]"
31,37,"[  867065   898448  1008492  1139638  1056212  1135681  6534069  9654969
 14025593   862732   916381  1053690  1067695  1097001  6533765  6534178
   955773  1031948  8160472 15926772   844165   916990  1092026  1136171]","[1082185, 995242, 1029743, 1106523, 1133018]"
32,39,"[  825348   830965   880050   884344   904236   923746   925437   976065
  1004001  1024032  1060819  1102927  1105450  1110142  1120443  1127716
  1136257  7433888  9416729  9527325  9655212 12171222 12385340 13158992
 13877096 14025731 15596933 16805948 17106044 13910636   826571   837012
   850679   851706   857503   859160   897125   916050   923789   925862
   930955   933809   957164   963502   965331  1017772  1038217  1045966
  1048383  1059593  1082185  1083208  1104343  1104938  1126899  1130581
  6395907  6773213 10285389 13008321 15483382 15830972 15972174   904375
   917839   945779   959821  1000050  1044078  1128647]","[1082185, 995242, 1029743, 1106523, 1133018]"
33,40,"[  838859   945499  1076587   820165   840361   866172   903325   911311
   928263   935824   956284   995242  1055504  1056651  1082185  1128240
  1136778  5566884  5580577  5588365  8293055 10149640 12188111 12582106
  6534178   880530   908531   928092   929433   955431   997539  1037863
  1065879  1083043  1111072  1112205  7138817  8019977 12757544 12812474
 13190326 13190625   820466   822140   849110   914632   926065   928754
   945805   989150   995785   995852  1035843  1047226  1068224  1093658
  1094619  1099117  7025250 15927266   852856   897954   906883   920426
   944836   947441  1029595  1079987  1082141  5978648  7409698  7409951
  9487987  9707422 12731518 12731632   822225   869500   871680  1024198
  1067749  1088414   851336   860168 13073016 13159169 15596138  6772788
   875391   878739   882305   913210   942425   951412  1014458  1098284
  1104343  1119860  1121045  1138175  9913338 10356553 12604332 15452456
 15831209   883404  1128923  6034857 13777104  1122350   855138   859075
   915041   935086   978387  1028816  1039682  1067954  1116821  5585510
  7410290  8155302  8273833 12301109   910513   922037  1092692 12673402
   843891   855488   871548   904148   922895   927191   933238   937689
  1002130  1053403  1068912  1088147  1095032  1123454  1127227  5978656
  6553737  6602614  8181010  9488064  9571047 12695656 12984929 13416167
 15927528 15927651 17104472   835334   986947  1083578   912807  1039028
  1041259  1076239   962777   971486   996539   999971  1082172 12456604
   861663   900598   952981  1088856 12605614 12757156]","[1082185, 995242, 1029743, 1106523, 1133018]"
34,41,"[  827806   865705   870315   909714   913210   931608   958657   979117
  1044805  1082185  1092692  1120009  6961848  9419888   821556   843418
   846417   909750   981760  1013321  1030819  1126899  5568729  9707340
 12985761 13417048   820291   959985   965543  1009977  1063920  1075275
  9575314 13115914 13133971   878290   976998   985160   992192  1016210
  1096792  1116555  5567502  5568320  5585510  7168233  8181516 10344971
   850058   861279   923235   971325   976864   995226 12262830 12781777
 12810393 15452678]","[1082185, 995242, 1029743, 1106523, 1133018]"
35,42,"[  839147   839656   842249   861074   882305   897120   905986   949616
   973522   976998   981760  1031087  1060673  1082185  1117500  8019310
  8019569   890127   932462   946839   990440  1022254  1112766  5995177
 15717070 15717272   829621   874525   923746   951094  1110688  6602697
  7441391 16806168   851146   879948   897953  1018685  1019011  1076195
  1083840  1135460  7442970]","[1082185, 995242, 1029743, 1106523, 1133018]"
36,43,[1056651],"[1082185, 995242, 1029743, 1106523, 1133018]"
37,44,"[ 820701  836445  873324  914190  921836  985445 1009187 1015974 1076855
 1123496 7025202]","[1082185, 995242, 1029743, 1106523, 1133018]"
38,46,"[  821200   834631   845622   883932   894447   909714   947849   950935
   967065  1017896  1024731  1029743  1050229  1090621  1090711  1137176
  6391152  6554865 12185235 12524365 14025170 14025541 15716677 15717069
   919766  6544236   826249   827180   849843   874617   889509   892264
   940136   960732   967283   977910   989249  1007259  1093571  1094619
  1105488  6442823  8090545  9885380 16729296   834572   846285   879049
   951761   979523  1002850  1044500  1072968  1082185  5568729  5570383
  7431989  8205731  9296870  9392979  9655696 12673354 15741662  1072398
  8090440  9858848 14025531   869857   839243   844165   845705   862335
   882247   886395   886814   898719   900370   915279   962568   981760
   985889   999104  1063265  1064441  1074524  1097458  1108610  9655679
 13115579 13213057 13877004 16053142   856942   865528   998119  1005274
  1010185  1082212  1098844  1121360  8090539  9523079  9858892  9858929
 16035203   838797   889649   912112  1022097  1066783  1085749  1102879
  1124146  5568197  7166492  8090537  9575586 14110766 15596705 16729299
   821209   852856   865501   866355   867931   882305   899624   903325
   917654   925711   928850   945139   957420   982790   990797  1006184
  1013826  1027663  1048325  1054509  1069522  1115098  1115175  1130517
  5569327 13115507 15926944  1071051  1079913 12171948 10355803   833241
   845319   854133   854405   865892   866211   871680   889731   890909
   923746   935824   944373   967144   991999   995242   996009  1019722
  1027569  1028715  1041512  1066069  1067185  1068957  1077490  1087753
  1096315  1107039  1116242  1120780  5978648  5978656  9245490 10456965
 13877192 15596938 15742122 15972988 17214845   835278   850102   958951
   988135  1043128  1127831  5564303]","[1082185, 995242, 1029743, 1106523, 1133018]"
39,47,"[ 1126252  1138953  8119318   903046   970669 10149949 12673403 12812062
 14077372 15511737 15511960  1003254   915041  1054030   847962   883932
   921432  1003188  1005186  1022003   904813   984511  1110697  8119103]","[1082185, 995242, 1029743, 1106523, 1133018]"
40,49,"[ 6534178   883003   917760   933835   961873   962229  1070820  1110218
  1132814  1135650  5569471  5995094  7025046  8014645 12757217 15926863
 15926887   873902   981240  1138361  1018809   831808   871061   873782
   890612   925029  1027168  1069268  1086384  1090884  1110111  8156489
   971656   826666   826830   867931   886577   891648   900770   913666
   917654   935200   950615  1001631  1014915  1018670  1022859  1033846
  1074333  1086806  1087102  1118963  1127838  1139782 13512734   867016
   911311   967144  1022003  1028715  1030362  1097815  1129610  1138677
  9704174   912287   987557  5588734   873887   875402   909666   914190
   951821  1004906  1073775  1081853  1127453  7410042 10150194]","[1082185, 995242, 1029743, 1106523, 1133018]"
41,51,"[  827656   837664   883202   893018   898510   899286   962229  1007512
  1012587  1096794  1101174  1104604 13115579 15716745 15717047   906883
  1079913  7467076 15596990   880427   946011   965766  1028995  1056762
  1070272  1121961  5571541  6463658  7025496  9677370 13115561   995242
  1042544 10344968  6703964 15778553   950202  1110572]","[1082185, 995242, 1029743, 1106523, 1133018]"
42,52,"[  824305   837270   840102   843306   850795   852864   853095   857276
   857503   862866   865705   878026   878880   879280   883940   889774
   891171   901452   901666   915349   923383   932072   968215   969494
   974104   979707   988835   993625   995785   995965  1001412  1004906
  1020823  1025383  1025650  1027284  1028782  1030819  1034956  1039627
  1040371  1056740  1067779  1074612  1074754  1079048  1082185  1088393
  1105301  1106523  1116821  1119051  1124305  1125123  1130517  6034964
 10355865 13008321 15596841   972191  1048462  1053176  1070272  9419525
  9859183 15740858   827671   880438   889912   959931   965502   976788
  1040693  1064380  1087851  1092835 12171843 12582397 15452430 15452846
 15717292 15863651   837012   837669   876042   909130   993592  1092303
  1124475   840361   848319   871756   873627   885290   893617   940631
   962568   983278   994928  1021834  1035836  1067185  1068943  1113415
  1137483  6704240 12604753   937403   948942  1068719   971540  1133018
  6534178   855356   880427   898995   909256   912902   924531   952698
   995478  1053530  1053690  1058404  1074868  1077048  1081177  1085357
  1116020  1121393  1127831  7168417  9831506]","[1082185, 995242, 1029743, 1106523, 1133018]"
43,53,"[  867215   939546   972726  1093543  1105623  5566752  5567365  6703892
  7166724 13876678 13876878  6534178   904236   924026   953401   955075
   955587  1012284  1033347  1061978   859185   918771   952981  1031083
  1041928   846833   847270   848154   849843   854405   868727   872134
   898011   953476   956440   964853   977275   991435  1019722  1038564
  1055646  1082185  1087102  1100973  5569471  6034857  9368289 12187385
 12187390   848236 12605614 15831378 15971817]","[1082185, 995242, 1029743, 1106523, 1133018]"
44,55,"[15596709   849843  1097280  1098844   851394  1032208  1104195 13007355
 13008334 13008412   844165   995242 12172355   948509  9911484 15596872
   874651   894401   988716  1042702 14019783 15926886   988791 15741296
 15927133 15927191   827683 13382073 15831567]","[1082185, 995242, 1029743, 1106523, 1133018]"
45,56,"[  838097   878637   900586   989101  1003321  1041487  1058997  1059347
  1082185  1096036  1105488  1107661  1125478  1138443  5566627  5569230
  5978648  5978656  6424356  8249459 10457044 13511409 14024964 15716369
 15972324 16059046 17104597   820466   826571   979707  1004906  1041396
 12132773   847207   908531   979057  9835773   891415   905592   951763
   960528  1040935  1110843  8090537  9487927  9655212 12262601 15863790
   890999  1036753  1028621  1068651  9803545 12263024   839243   853109
   855544   856060   867188   940947   973861   976199   980727   981760
  1007512  1026469  1027521  1037560  1094619  1114593 12263180  1084349
 12188111   952280  1042702  1056651 12604559 13911285 15971690 13115501
   911974   917459   946328   966233  6553571  7433574 15716671   827919
   830304   847025   863447   867469   936073   944543   962185   969786
  1003188  1017380  1023226  1055504  1058686  1073067  1102829  1110057
  1137775  5568378  8358895  9245108  9858581 12301405 13115913 15972350
 17104578 12606074   834565   906883   940217 15596617 12428467 17104955
   831523   832678   833238   849202   904997   963835   967994   975329
   975588   998037  1071939  1103691  6979545 12456604 12649393]","[1082185, 995242, 1029743, 1106523, 1133018]"
46,57,"[  901639  1048563   931108  9222020  9297574  9419403  9420288   915041
  1051516  5978648  6904666  6904775  6904830 12731544   839277   846833
   869024   929605 12172054 16827847   836793   997700   999318  1116413
 12757506  6534178   868423   877226   981918  1065871  1068843  9297062
   967929  9420042  9677102   914358   972320   986912  1040693 10356140
  7139529   861615  1104238 12781597 12781914 17249614]","[1082185, 995242, 1029743, 1106523, 1133018]"
47,58,"[  882305   901062  1005186  1095275  1098248  1098844 17238204   825494
   856345   874149   888178   903800   924804   938547   953243   961554
   962568   995785  1005274  1008212  1011046  1016129  1039589  1070820
  1075074  1078666  1092446  1102067  1103705  1119051  1126899  1127831
 12188195 12696250 12755111 13417854 14025321  6534178  1000930  1062128
   825748   840361   862349   865156   879988   934156   944836   970202
   976199   990656   991747   993588   995965  1041259  1043301  1044895
  1047769  1058997  1064945  1065496  1068719  1073709  1082185  1104343
  1136375  6772883  8014645  9487286 16208129 16828188   864615   965638
  1017363  1039156   834117   855288   861486   869577   917654   939907
   941532   944454   971709   985999   999639  1027569  1054216  1067419
  1067928  1093966  6904776  7166890 15830882   859191   880427   915493
   944256   945200  1039831  1048302  1057102  9856740 12524960   847270
   850159   861792   880228   908882   916122   964262   970030   972133
   979707   980644  1003600  1055646  1079987  9420282 13071901 13382462
 14050553 15830610]","[1082185, 995242, 1029743, 1106523, 1133018]"
48,59,"[ 847789  856942  972931  973374  974038 1053690 1092157  830374  845288
  877935 1043837 5567428]","[1082185, 995242, 1029743, 1106523, 1133018]"
49,62,"[   42100    85232   112613   328972  7414659  7415086  8014245  9400662
 10462868 12735570    43256    45240    71220   121989   176621   202364
   209046   369989    64337    36734    36873    72070   111625   173274
   387378 13387935 13388046   119477   242044   399186  9682167 10156042
 10198392]","[1082185, 995242, 1029743, 1106523, 1133018]"
50,63,[5587039  897733  926958 1106894 9526286],"[1082185, 995242, 1029743, 1106523, 1133018]"
